Grade,Chapter,Topic Nos.,Topic,Subtopic Nos.,"Skill (Reading, Listening, Speaking, Writing, Language)",Domain & Axis,Standard , Learning Objectives Nos., Learning Objectives ," Linguistic Concepts (Grammar, Spelling, Rhetoric)",Saal Practice,Saal Lessons,,,,,,,,,,,,,,
Grade 5,الوحدة الخامسة,5.2,النص المعلوماتي : الانتصار علي الخجل,5.2.1,القراءة,قراءة النصوص المعلوماتية / معرفة الفكر الرئيسية والتفاصيل,"أن يقرأ المتعلم النص المعلوماتي بعمق وشمولية، ويحدد الفكرة المركزية والفكر الرئيسة، ويستنتج العلاقات ضمن النص الواحد وبين النصوص المختلفة.",G5.3.1.1.2,"حدد المتعلم الفكرة المحورية للنص و التفاصيل الرئيسة الداعمة لها، مبينًا مدى التماسك بينها.",,,,,,,,,,,,,,,,,
Grade 5,الوحدة الخامسة,5.2,النص المعلوماتي : الانتصار علي الخجل,5.2.1,القراءة,قراءة النصوص المعلوماتية / تَحليل نص,"أن يحلل المتعلم عناصر النص واختيار الكاتب للكلمات، ويقيم الطرائق التي تساهم فيها تراكيب الجمل في بناء النص، وأساليب عرض وجهة النظر، أو طريقة كتابة النص وطباعته.",G5.3.2.1.1,يفسر المتعلم معاني الكلمات و المصطلحات و العبارات الواردة في نص معلوماتي من خلال معرفته بعلاقات التضاد و الترادف و الاشتراك اللفظي مستخدًما المعاجم و الرسومات.,,,,,,,,,,,,,,,,,
Grade 5,الوحدة الخامسة,5.2,النص المعلوماتي : الانتصار علي الخجل,5.2.1,القراءة,قراءة النصوص المعلوماتية / تَحليل نص,"أن يحلل المتعلم عناصر النص واختيار الكاتب للكلمات، ويقيم الطرائق التي تساهم فيها تراكيب الجمل في بناء النص، وأساليب عرض وجهة النظر، أو طريقة كتابة النص وطباعته.",G5.3.2.1.2,"يحدد المتعلم البناء المستخدم في النص لتقديم الأحداث و الفكر و المفاهيم و المعلومات، مثل: (التسلسل الزمني للأحداث و السبب و النتيجة و المقارنة).",,,,,,,,,,,,,,,,,
Grade 5,الوحدة الخامسة,5.2,النص المعلوماتي : الانتصار علي الخجل,5.2.1,الاستماع والمحادثة,الاستماع والمحادثة/استيعاب المعرفة وتقديمها,"أن يظهر المتعلم فهما لمواد مسموعة، ويتواصـل مع الآخرين مقدما المعلومات والنتائج المدعومة بالأدلة لإقناع المستمعين واستمالتهم نحو الموضوع مستخدما اللغة العربية الفصيحة.",G5.5.1.1.1,يستوعب المتعلّم المادة المسموعة (نًّصا سرديًا - مقالاً) مؤولاً رسائل المتحدث الشفوية وغير الشفوية وفق أهدافه ووجهة نظرة.,,,,,,,,,,,,,,,,,
Grade 5,الوحدة الخامسة,5.2,النص المعلوماتي : الانتصار علي الخجل,5.2.1,الاستماع والمحادثة,الاستماع والمحادثة/استيعاب المعرفة وتقديمها,"أن يشارك المتعلم في النقاشات مع معلميه وزملائه، مكيفا كلامه وفق لمجموعة متنوعة من السياقات والمهام التواصلية مظهرا إجادته للغة العربية الفصيحة",G5.5.1.2.1,"يتحدث المتعلّم بصوت واضح وأسلوب معبّر لتقديم معلومات عن موضوع، أو فكرة، أو موقف يُظهر فهمه للموضوع .",,,,,,,,,,,,,,,,,
Grade 5,الوحدة الخامسة,5.2,النص المعلوماتي : الانتصار علي الخجل,5.2.1,اللغة (المعجم),اللغة/ اكتساب المفردات واستخدامها (المعجم),أن يكتسب المتعلم مفردات من خلال احتكاكه بمواقف غنية لغويا,G5.6.1.1.1,يستخدم المتعلم الكلمات ذات المحيط اللغوي الواحد مراعيًا الفروق بين دلالاتها,,,,,,,,,,,,,,,,,
Grade 5,الوحدة الخامسة,5.2,النص المعلوماتي : الانتصار علي الخجل,5.2.1,الاستماع والمحادثة,الاستماع والمحادثة/استيعاب المعرفة وتقديمها,"أن يشارك المتعلم في النقاشات مع معلميه وزملائه، مكيفا كلامه وفق لمجموعة متنوعة من السياقات والمهام التواصلية مظهرا إجادته للغة العربية الفصيحة",G5.5.1.2.2,يُقّدم المتعلّم شفويًّا ملخًصا لقصة قرأها.,,,,,,,,,,,,,,,,,
Grade 5,الوحدة الخامسة,5.2,النص المعلوماتي : الانتصار علي الخجل,5.2.1,اللغة (المعجم),اللغة/ اكتساب المفردات واستخدامها (المعجم),أن يفسر المفردات الجديدة من خلال سياقاتها المختلفة,G5.6.1.2.5,يستخدم المتعلم الكلمات الجديدة في سياقات تفسر معناها.,,,,,,,,,,,,,,,,,
Grade 5,الوحدة الخامسة,5.2,النص المعلوماتي : الانتصار علي الخجل,5.2.1,اللغة (المعجم),اللغة/ اكتساب المفردات واستخدامها (المعجم),أن يكتسب المتعلم مفردات من خلال احتكاكه بمواقف غنية لغويا,G5.6.1.1.2,يحدد المتعلم علاقات التضاد و الترادف بين الكلمات,,,,,,,,,,,,,,,,,
Grade 5,الوحدة الخامسة,5.3,احوال خبر جملة كان واخواتها,5.3.1,اللغة (النحو والصرف),اللغة/ بنية اللغة العربية (النحو والصرف),"أن يتعرف المتعلم المفاهيم النحوية والصرفية، ويستخدمها استخداما صحيحا.",G5.6.2.1.2,يتعرف المتعلم جملة (كان ) و جملة ( إن ) بعناصرهما و يوظفهما في جمل من إنشائه,أحوال خبر جملة ( كان وأخواتها ),النواسخ- كان وأخواتها,,,,,,,,,,,,,,,
Grade 5,الوحدة الخامسة,5.4,الهمزة المتوسطة علي الياء,5.4.1,اللغة (الإملاء),اللغة/ بنية اللغة العربية (الاملاء),أن يكتب المتعلم الكلمات والجمل مراعيا قواعد الإملاء والترقيم.,G5.6.3.1.1,يَكْتُبُ الْمُتَعَلِّمُ الْكَلِماتِ الْمُتَضَمّنَة هَمْزَةً مُتَوَسِّطَةً عَلى الياء كِتابَةً صَحيحَةً.,,,,,,,,,,,,,,,,,
Grade 5,الوحدة الخامسة,5.5,كتابة نص إقناعي,5.5.1,الكتابة,الكتابة/ البحث عن المعلومات,أن يبحث المتعلم عن المعلومات ويطبقها في موضوعات كتابية تستند إلى أغراض محددة تظهر فهمه بالمادة التي يبحث عنها وتتناسب مع غرض الكتابة وطبيعتها,G5.4.1.1.1,"يبحث المتعلّم عن معلومات من عدة مصادر: المقابلات، الشبكة المعلوماتية والمعاجم والموسوعات، ويوثق المعلومات الأساسية.",,,,,,,,,,,,,,,,,
Grade 5,الوحدة الخامسة,5.5,كتابة نص إقناعي,5.5.1,الكتابة,الكتابة/ انتاج الاعمال الكتابية ونشرها,أن ينتج المتعلم أعمالا كتابية واضحة ومتنوعة تظهر توجه نحو التنظيم والترتيب متلائمة مع المهمة والغاية.,G5.4.2.1.1,يختار المتعلّم نقطة للكتابة وبنية تنظيمية ووجهة نظر محددة معتمًدا على الغرض والمتلقي وطول النص.,,,,,,,,,,,,,,,,,
Grade 5,الوحدة الخامسة,5.5,كتابة نص إقناعي,5.5.1,الكتابة,الكتابة/ انتاج الاعمال الكتابية ونشرها,أن ينتج المتعلم أعمالا كتابية واضحة ومتنوعة تظهر توجه نحو التنظيم والترتيب متلائمة مع المهمة والغاية.,G5.4.2.1.2,"يكتب نصوًصا بفقرات متعددة يؤسس فيها فكرة مركزية وأفكاًرا مهمة، ويضعها في سياق منطقي، مستخدًما أدوات الربط، ويختم النص بفقرة ختامية.",كتابة نص إقناعي من فقرات متعددة,,,,,,,,,,,,,,,,
Grade 5,الوحدة الخامسة,5.5,كتابة نص إقناعي,5.5.1,اللغة (الإملاء),اللغة/ بنية اللغة العربية (الاملاء),أن يكتب المتعلم الكلمات والجمل مراعيا قواعد الإملاء والترقيم.,G5.6.3.1.3,"يَسْتَخدِمُ المُتَعَلّمُ عَلاماتِ الترَّقْيمِ (عَلامَةُ الاسْتِفهامِ، النُّقْطَةُ، عَلامَةُ التَّعَجُّبِ، الفاصِلَةُ، النُّقطتانِ الرَّأْسيَّتانِ، القَوسانِ، عَلامَتا التَّنْصيصِ) اسْتِخدامًا صَحيحًا","عَلاماتِ الترَّقْيمِ (عَلامَةُ الاسْتِفهامِ، النُّقْطَةُ، عَلامَةُ التَّعَجُّبِ، الفاصِلَةُ، النُّقطتانِ الرَّأْسيَّتانِ، القَوسانِ، عَلامَتا التَّنْصيصِ)",,,,,,,,,,,,,,,,
Grade 5,الوحدة الخامسة,5.5,كتابة نص إقناعي,5.5.1,الكتابة,الكتابة/ إنتاج الأعمال الكتابية ونشرها,أن ينتج المتعلم أعمالا كتابية واضحة ومتنوعة تظهر توجه نحو التنظيم والترتيب متلائمة مع المهمة والغاية.,G5.4.2.1.3,"يستخدم المتعلّم بنى واضحة ومختارة للكتابة بحسب الموضوع والغرض والسبب والنتيجة والمقارنة والمقابلة. مستخدًما أدوات الربط وعلامات الترقيم، ونظام التفقير.",,,,,,,,,,,,,,,,,
Grade 5,الوحدة الخامسة,5.5,كتابة نص إقناعي,5.5.1,الكتابة,الكتابة/ إنتاج الأعمال الكتابية ونشرها,أن ينتج المتعلم أعمالا كتابية واضحة ومتنوعة تظهر توجه نحو التنظيم والترتيب متلائمة مع المهمة والغاية.,G5.4.2.1.4,يراجع المتعلّم مسودات متعددة لما يكتب ويعيد تحريرها بخط واضح ومرتب مستخدًما مقياًسا للكتابة.,,,,,,,,,,,,,,,,,
Grade 5,الوحدة الخامسة,5.5,كتابة نص إقناعي,5.5.1,الكتابة,الكتابة/ إنتاج الأعمال الكتابية ونشرها,"أن يــسـتخـدم المتعلم التكنولوجيا، بما فيها (الإنترنت)، وغيرها من المصادر؛ لينتج وينشر عملا كتابيا متفاعلاً مع الآخرين",G5.4.2.3.2,"يوظف الحاسوب و الشبكة المعلوماتية عند تحرير كتاباته و مراجعتها، لتجويد العمل.",,,,,,,,,,,,,,,,,
Grade 5,الوحدة الخامسة,5.5,كتابة نص إقناعي,5.5.1,الكتابة,الكتابة/ إنتاج الأعمال الكتابية ونشرها,"أن يــسـتخـدم المتعلم التكنولوجيا، بما فيها (الإنترنت)، وغيرها من المصادر؛ لينتج وينشر عملا كتابيا متفاعلاً مع الآخرين",G5.4.2.3.3,ينشر ما يكتبه عبر الوسائط المتاحة.,,,,,,,,,,,,,,,,,
Grade 5,الوحدة الخامسة,5.6,النشيد: القمر,5.6.1,القراءة,اساسيات القراءة,أن يطبق المتعلم استراتيجيات الــقــراءة الصحيحة لقراءة الكلمات والنصوص بدقة وطــلاقــة مــع فــهــم المــعــاني والدلالات.,G5.1.1.1.1,يقرأ المتعلّم نصوًصا نثرية وشعرية بطلاقة مع مراعاة التعبير عن الانفعالات والمشاعر.,,,,,,,,,,,,,,,,,
Grade 5,الوحدة الخامسة,5.6,النشيد: القمر,5.6.1,القراءة,قراءة النصوص الأدبية/تكامل المعرفة مع الفكر,"أن يقرأ المتعلم نصوصا شعرية وأعمالاً نثرية متنوعة ويقمها ويحللها، ويــدمــج الفكر المقدمة فيها؛ لبناء معرفة وفهم جديدين عن الفكرة المحورية، والرسائل المتضمنة في الأعمال الأدبية.",G5.3.2.1.2,"يحفظ المتعلّم (9) نصوص شعرية تتألف من (10-7) أبيات موضوعاتها تناسب المرحلة مثل: الجمال، البيئة، الطبيعة، العمل، المهن، التراث، القيم... وغيرها.",,,,,,,,,,,,,,,,,
Grade 5,الوحدة الخامسة,5.6,النشيد: القمر,5.6.1,القراءة,قراءة النصوص الأدبية/ معرفة الفكر الرئيسية والتفاصيل,"أن يحدد المتعلم الفكر الرئيسة والتفاصيل المساندة التي تسهم في توضيح الفكرة الرئيسة، أو الرسالة العامة، أو الدروس المقدمة في النصوص الأدبية",G5.2.1.1.2,"يبين المتعلم المعنى الإجمالي للنص الشعري ، ويحفظه.",,,,,,,,,,,,,,,,,
Grade 5,الوحدة الخامسة,5.6,النشيد: القمر,5.6.1,القراءة,قراءة النصوص الادبية/ تحليل النص,"أن يحدد المتعلم جوانب معينة في النصوص الأدبية ويفهمها،ويحلل عناصر النص وخيارات المؤلفين في اختيار الكلمت والأساليب الأدبية المناسبة لنصوصهم.",G5.2.2.1.1,"يفسر المتعلم كلمات النص الشعري، مستنتًجا دلالات المفردات.",,,,,,,,,,,,,,,,,
Grade 5,الوحدة الخامسة,5.6,النشيد: القمر,5.6.1,القراءة,قراءة النصوص الادبية/ تحليل النص,"أن يحدد المتعلم جوانب معينة في النصوص الأدبية ويفهمها،ويحلل عناصر النص وخيارات المؤلفين في اختيار الكلمت والأساليب الأدبية المناسبة لنصوصهم.",G5.2.2.1.2,يحدد المتعلم أنواع الإيقاع اللفظي في النصوص (الجناس و السجع و التكرار الصوتي),الجِناسُ و السَّجْعُ والتِّكرارُ الصَّوْتيُّ (نمط),,,,,,,,,,,,,,,,
Grade 5,الوحدة السادسة,6.1,قصة: صوت المحبة,6.1.1,القراءة,أساسيات القراءة,أن يطبق المتعلم استراتيجيات الــقــراءة الصحيحة لقراءة الكلمات والنصوص بدقة وطــلاقــة مــع فــهــم المــعــاني والدلالات.,G5.1.1.1.2,"يحدد المتعلم الكلمات المحورية والجديدة في النص، و يشرح معانيها، ويكتشف بعض الاستخدامات المجازية لها",,,,,,,,,,,,,,,,,
Grade 5,الوحدة السادسة,6.1,قصة: صوت المحبة,6.1.1,القراءة,أساسيات القراءة,أن يطبق المتعلم استراتيجيات الــقــراءة الصحيحة لقراءة الكلمات والنصوص بدقة وطــلاقــة مــع فــهــم المــعــاني والدلالات.,G5.1.1.1.3,"يُوّظف معرفته بالمصاحبات اللغوية الشائعة في الاستعمال اللغوي قديًما وحديثًا مثل : الاختناق المروري، تكنولوجيا المعلومات،... جبال شاهقة،حفيف الشجر، صهيل الخيول.",,,,,,,,,,,,,,,,,
Grade 5,الوحدة السادسة,6.1,قصة: صوت المحبة,6.1.1,القراءة,أساسيات القراءة,أن يطبق المتعلم استراتيجيات الــقــراءة الصحيحة لقراءة الكلمات والنصوص بدقة وطــلاقــة مــع فــهــم المــعــاني والدلالات.,G5.1.1.1.1,يقرأ المتعلّم نصوًصا نثرية وشعرية بطلاقة مع مراعاة التعبير عن الانفعالات والمشاعر.,,,,,,,,,,,,,,,,,
Grade 5,الوحدة السادسة,6.1,قصة: صوت المحبة,6.1.1,الاستماع والمحادثة,الاستماع والمحادثة/استيعاب المعرفة وتقديمها,"أن يشارك المتعلم في النقاشات مع معلميه وزملائه، مكيفا كلامه وفق لمجموعة متنوعة من السياقات والمهام التواصلية مظهرا إجادته للغة العربية الفصيحة",G5.5.1.2.1,يتحدث المتعلم بصوت واضح وأسلوب معبر لتقديم معلومات عن موضوع أو فكرة أو موقف مظهرا فهمه للموضوع,,,,,,,,,,,,,,,,,
Grade 5,الوحدة السادسة,6.1,قصة: صوت المحبة,6.1.1,الاستماع والمحادثة,الاستماع والمحادثة/استيعاب المعرفة وتقديمها,"أن يشارك المتعلم في النقاشات مع معلميه وزملائه، مكيفا كلامه وفق لمجموعة متنوعة من السياقات والمهام التواصلية مظهرا إجادته للغة العربية الفصيحة",G5.5.1.2.2,يقدم المتعلم شفويا ملخصا لقصة قرأها,,,,,,,,,,,,,,,,,
Grade 5,الوحدة السادسة,6.1,قصة: صوت المحبة,6.1.1,القراءة,قراءة النصوص المعلوماتية / تَحليل نص,"أن يحلل المتعلم عناصر النص واختيار الكاتب للكلمات، ويقيم الطرائق التي تساهم فيها تراكيب الجمل في بناء النص، وأساليب عرض وجهة النظر، أو طريقة كتابة النص وطباعته.",G5.3.2.1.2,"يحدد المتعلم البناء المستخدم في النص القديم، الأحداث والفكر و المفاهيم و المعلومات، مثل: التسلسل الزمني للأحداث، والسبب والنتيجة، والمقارنة.",,,,,,,,,,,,,,,,,
Grade 5,الوحدة السادسة,6.2,النص المعلوماتي: التوازن البيئي الطبيعي,6.2.1,القراءة,أساسيات القراءة,أن يطبق المتعلم استراتيجيات الــقــراءة الصحيحة لقراءة الكلمات والنصوص بدقة وطــلاقــة مــع فــهــم المــعــاني والدلالات.,G5.1.1.1.1,يقرأ المتعلم نصوصا نثرية و شعرية بطلاقة مع مراعاة التعبير في الانفعالات والمشاعر,,,,,,,,,,,,,,,,,
Grade 5,الوحدة السادسة,6.2,النص المعلوماتي: التوازن البيئي الطبيعي,6.2.1,القراءة,قراءة النصوص الادبية/ تكامل المعرفة مع الفكر,"أن يقرأ المتعلم نصوصا شعرية وأعمالاً نثرية متنوعة ويقمها ويحللها، ويــدمــج الفكر المقدمة فيها؛ لبناء معرفة وفهم جديدين عن الفكرة المحورية، والرسائل المتضمنة في الأعمال الأدبية.",G5.2.3.1.1,يحدد المتعلم مساهمة الصور والكلمات في توضيح مغزى العمل الأدبي,,,,,,,,,,,,,,,,,
Grade 5,الوحدة السادسة,6.2,النص المعلوماتي: التوازن البيئي الطبيعي,6.2.1,القراءة,قراءة النصوص المعلوماتية / معرفة الفكر الرئيسية والتفاصيل,"أن يقرأ المتعلم النص المعلوماتي بعمق وشمولية، ويحدد الفكرة المركزية والفكر الرئيسة، ويستنتج العلاقات ضمن النص الواحد وبين النصوص المختلفة.",G5.3.1.1.1,يدعم المتعلم أفكار نص معلوماتي من خلال الاستدلال بالتفاصيل والأمثلة و الرسومات والمخططات الواردة في النص,,,,,,,,,,,,,,,,,
Grade 5,الوحدة السادسة,6.2,النص المعلوماتي: التوازن البيئي الطبيعي,6.2.1,القراءة,قراءة النصوص المعلوماتية / معرفة الفكر الرئيسية والتفاصيل,"أن يقرأ المتعلم النص المعلوماتي بعمق وشمولية، ويحدد الفكرة المركزية والفكر الرئيسة، ويستنتج العلاقات ضمن النص الواحد وبين النصوص المختلفة.",G5.3.1.1.2,"يحدد المتعلم الفكرة المحورية في للنص والتفاصيل الرئيسية الداعمة لها، مبينا مدى التماسك بينهما",,,,,,,,,,,,,,,,,
Grade 5,الوحدة السادسة,6.2,النص المعلوماتي: التوازن البيئي الطبيعي,6.2.1,القراءة,قراءة النصوص المعلوماتية / تَحليل نص,"أن يحلل المتعلم عناصر النص واختيار الكاتب للكلمات، ويقيم الطرائق التي تساهم فيها تراكيب الجمل في بناء النص، وأساليب عرض وجهة النظر، أو طريقة كتابة النص وطباعته.",G5.3.2.1.1,يفسر المتعلم معاني الكلمات والمصطلحات والعبارات الواردة في نص معلوماتي من خلال معرفته بعلاقات التضاد والترادف والاشتراك اللفظي مستخدما المعاجم والرسومات ,,,,,,,,,,,,,,,,,
Grade 5,الوحدة السادسة,6.2,النص المعلوماتي: التوازن البيئي الطبيعي,6.2.1,الاستماع والمحادثة,الاستماع والمحادثة/استيعاب المعرفة وتقديمها,"أن يظهر المتعلم فهما لمواد مسموعة، ويتواصـل مع الآخرين مقدما المعلومات والنتائج المدعومة بالأدلة لإقناع المستمعين واستمالتهم نحو الموضوع مستخدما اللغة العربية الفصيحة.",G5.5.1.1.1,يستوعب المتعلم المادة المسموعة (نصا سرديا - مقالا) مؤولا رسائل المتحدث الشفوية و غير الشفوية وفق أهدافه و وجهة نظره,,,,,,,,,,,,,,,,,
Grade 5,الوحدة السادسة,6.2,النص المعلوماتي: التوازن البيئي الطبيعي,6.2.1,الاستماع والمحادثة,الاستماع والمحادثة/استيعاب المعرفة وتقديمها,"أن يشارك المتعلم في النقاشات مع معلميه وزملائه، مكيفا كلامه وفق لمجموعة متنوعة من السياقات والمهام التواصلية مظهرا إجادته للغة العربية الفصيحة",G5.5.1.2.1,يتحدث المتعلم بصوت واضح وأسلوب معبر لتقديم معلومات عن موضوع أو فكرة أو موقف مظهرا فهمه للموضوع,,,,,,,,,,,,,,,,,
Grade 5,الوحدة السادسة,6.2,النص المعلوماتي: التوازن البيئي الطبيعي,6.2.1,الاستماع والمحادثة,الاستماع والمحادثة/استيعاب المعرفة وتقديمها,"أن يشارك المتعلم في النقاشات مع معلميه وزملائه، مكيفا كلامه وفق لمجموعة متنوعة من السياقات والمهام التواصلية مظهرا إجادته للغة العربية الفصيحة",G5.5.1.2.2,يقدم المتعلم شفويا ملخصا لقصة قرأها,,,,,,,,,,,,,,,,,
Grade 5,الوحدة السادسة,6.2,النص المعلوماتي: التوازن البيئي الطبيعي,6.2.1,اللغة (المعجم),اللغة/ اكتساب المفردات واستخدامها (المعجم),أن يفسر المفردات الجديدة من خلال سياقاتها المختلفة,G5.6.1.2.5,يستخدم المتعلم الكلمات الجديدة في سياقات تفسر معناها ,,,,,,,,,,,,,,,,,
Grade 5,الوحدة السادسة,6.2,النص المعلوماتي: التوازن البيئي الطبيعي,6.2.1,اللغة (المعجم),اللغة/ اكتساب المفردات واستخدامها (المعجم),أن يكتسب المتعلم مفردات من خلال احتكاكه بمواقف غنية لغويا,G5.6.1.1.1,يستخدم المتعلم الكلمات ذات المحيط اللغوي الواحد مراعيا الفروق بين دلالاتها,,,,,,,,,,,,,,,,,
Grade 5,الوحدة السادسة,6.2,النص المعلوماتي: التوازن البيئي الطبيعي,6.2.1,اللغة (المعجم),اللغة/ اكتساب المفردات واستخدامها (المعجم),أن يكتسب المتعلم مفردات من خلال احتكاكه بمواقف غنية لغويا,G5.6.1.1.2,يحدد المتعلم علاقات التضاد والترادف بين الكلمات,,,,,,,,,,,,,,,,,
Grade 5,الوحدة السادسة,6.3,النحو: إن وأخواتها (أنواع خبرها),6.3.1,اللغة (النحو والصرف),اللغة/ بنية اللغة العربية (النحو والصرف),"أن يتعرف المتعلم المفاهيم النحوية والصرفية، ويستخدمها استخداما صحيحا.",G5.6.2.1.2,"يتعرف المتعلم (جملة كان) و ( جملة إن) بعناصرهما، و يوظفهما في جمل من إنشائه ",أحوال خبر جملة ( إنّ وأخواتها ),النواسخ- إنّ وأخواتها,,,,,,,,,,,,,,,
Grade 5,الوحدة السادسة,6.4,الإملاء: الهمزة المتوسطة المنفردة على السطر,6.4.1,اللغة (الإملاء),اللغة/ بنية اللغة العربية (الاملاء),أن يكتب المتعلم الكلمات والجمل مراعيا قواعد الإملاء والترقيم.,G5.6.3.1.1,يكتب الكلمات المتضمنة همزة متوسطة منفردة على السطر كتابة صحيحة.,الهمزة المتوسطة المنفردة على السطر ,,,,,,,,,,,,,,,,
Grade 5,الوحدة السادسة,6.4,الإملاء: الهمزة المتوسطة المنفردة على السطر,6.4.1,اللغة (الإملاء),اللغة/ بنية اللغة العربية (الاملاء),أن يكتب المتعلم الكلمات والجمل مراعيا قواعد الإملاء والترقيم.,G5.6.3.1.2,يكتب كلمات بصرية تحتوي على همزة متوسطة منفردة بواقع عشر كلمات.,,,,,,,,,,,,,,,,,
Grade 5,الوحدة السادسة,6.5,الكتابة: كتابة نص إقناعي,6.5.1,الكتابة,الكتابة/البحث عن معلومات,أن يبحث المتعلم عن المعلومات ويطبقها في موضوعات كتابية تستند إلى أغراض محددة تظهر فهمه بالمادة التي يبحث عنها وتتناسب مع غرض الكتابة وطبيعتها,G5.4.1.1.1,"يبحث المتعلم عن معلومات من عدة مصادر: المقابلات، الشبكة المعلوماتية والمعاجم و الموسوعات، و يوثق المعلومات الاساسية",,,,,,,,,,,,,,,,,
Grade 5,الوحدة السادسة,6.5,الكتابة: كتابة نص إقناعي,6.5.1,الكتابة,الكتابة/ إنتاج الأعمال الكتابية ونشرها,أن ينتج المتعلم أعمالا كتابية واضحة ومتنوعة تظهر توجه نحو التنظيم والترتيب متلائمة مع المهمة والغاية.,G5.4.2.1.1,يختار المتعلم نقطة للكتابة و بنية تنظيمية و وجهة نظر محددة معتمدا على الغرض والمتلقي و طول النص,,,,,,,,,,,,,,,,,
Grade 5,الوحدة السادسة,6.5,الكتابة: كتابة نص إقناعي,6.5.1,الكتابة,الكتابة/ إنتاج الأعمال الكتابية ونشرها,أن ينتج المتعلم أعمالا كتابية واضحة ومتنوعة تظهر توجه نحو التنظيم والترتيب متلائمة مع المهمة والغاية.,G5.4.2.1.2,"يكتب نصوصا بفقرات متعددة يؤسس فيها فكرة مركزية وأفكارا مهمة و يضعها في سياق منطقي ، مستخدما أدوات الربط  ويختم النص بفقرة ختامية.",كتابة نص إقناعي من فقرات متعددة,,,,,,,,,,,,,,,,
Grade 6,الوحدة السادسة,6.5,الكتابة: كتابة نص إقناعي,6.5.1,الكتابة,الكتابة/ إنتاج الأعمال الكتابية ونشرها,أن ينتج المتعلم أعمالا كتابية واضحة ومتنوعة تظهر توجه نحو التنظيم والترتيب متلائمة مع المهمة والغاية.,G5.4.2.1.3,يستخدم بنى واضحة ومختارة للكتابة بحسب الموضوع والغرض والسبب والنتيجة والمقارنة والمقابلة مستخدما أدوات الربط وعلامات الترقيم ونظام التفقير.,"عَلاماتِ الترَّقْيمِ (عَلامَةُ الاسْتِفهامِ، النُّقْطَةُ، عَلامَةُ التَّعَجُّبِ، الفاصِلَةُ، النُّقطتانِ الرَّأْسيَّتانِ، القَوسانِ، عَلامَتا التَّنْصيصِ)",,,,,,,,,,,,,,,,
Grade 5,الوحدة السادسة,6.5,الكتابة: كتابة نص إقناعي,6.5.1,الكتابة,الكتابة/ إنتاج الأعمال الكتابية ونشرها,أن ينتج المتعلم أعمالا كتابية واضحة ومتنوعة تظهر توجه نحو التنظيم والترتيب متلائمة مع المهمة والغاية.,G5.4.2.1.4,"يراجع المتعلم مسودات متعددة لما يكتب، و يعيد تحريرها بخط واضح و مرتب مستخدما مقياسا للكتابة",,,,,,,,,,,,,,,,,
Grade 5,الوحدة السادسة,6.5,الكتابة: كتابة نص إقناعي,6.5.1,الكتابة,الكتابة/ إنتاج الأعمال الكتابية ونشرها,أن ينتج المتعلم نصوصا سردية ومعلوماتية وإقناعية ووصفية وتظهر كتاباته تقيده بالسلامة اللغوية.,G5.4.2.4.4,"يكتب نصوصا اقناعية تظهر وجهة نظره في قضية أو موضوع ما مدعومة بالأدلة و الشواهد من مصادر مختلفة: الكتب، الخبرة، الشخصية، تجارب الآخرين",,,,,,,,,,,,,,,,,
Grade 5,الوحدة السادسة,6.5,الكتابة: كتابة نص إقناعي,6.5.1,الكتابة,الكتابة/ إنتاج الأعمال الكتابية ونشرها,"أن يــسـتخـدم المتعلم التكنولوجيا، بما فيها (الإنترنت)، وغيرها من المصادر؛ لينتج وينشر عملا كتابيا متفاعلاً مع الآخرين",G5.4.2.5.1,"يستخدم بإستقلالية واضحة التكنولوجيا المتاحة، كالبحث عن الصور و الجداول، و برامج (بوربوينت)",,,,,,,,,,,,,,,,,
Grade 5,الوحدة السادسة,6.5,الكتابة: كتابة نص إقناعي,6.5.1,الكتابة,الكتابة/ إنتاج الأعمال الكتابية ونشرها,"أن يــسـتخـدم المتعلم التكنولوجيا، بما فيها (الإنترنت)، وغيرها من المصادر؛ لينتج وينشر عملا كتابيا متفاعلاً مع الآخرين",G5.4.2.5.2,يوظف الحاسوب والشبكة المعلوماتية عند تحرير كتابته و مراجعتها لتجويد العمل,,,,,,,,,,,,,,,,,
Grade 5,الوحدة السادسة,6.5,الكتابة: كتابة نص إقناعي,6.5.1,الكتابة,الكتابة/ إنتاج الأعمال الكتابية ونشرها,"أن يــسـتخـدم المتعلم التكنولوجيا، بما فيها (الإنترنت)، وغيرها من المصادر؛ لينتج وينشر عملا كتابيا متفاعلاً مع الآخرين",G5.4.2.5.3,ينشر ما يكتبه عن الوسائط المتاحة,,,,,,,,,,,,,,,,,
Grade 5,الوحدة السادسة,6.6,النشيد: كن بلسما,6.4.1,القراءة,أساسيات القراءة,أن يطبق المتعلم استراتيجيات الــقــراءة الصحيحة لقراءة الكلمات والنصوص بدقة وطــلاقــة مــع فــهــم المــعــاني والدلالات.,G5.1.1.1.1,يقرأ المتعلم نصوصا نثرية و شعرية بطلاقة مع مراعاة التعبير في الانفعالات والمشاعر,,,,,,,,,,,,,,,,,
